room.kitchen	   -8.500   -1.300   -5.500    4.350
room.living_room	   -5.350   -1.300    2.500    4.200
room.corridor1	    2.600   -1.350    6.600    0.100
room.bedroom	    2.600    0.200    8.700    4.200
room.toilet	    6.700   -1.400    8.650    0.050
room.study	    3.800   -6.250    7.550   -1.500
room.second_bedroom	    0.000   -6.150    3.700   -1.500
room.corridor2	   -4.850   -2.450   -0.100   -1.450
room.bathroom	   -2.800   -6.200   -0.150   -2.600
room.balcony	   -5.050   -6.050   -2.850   -2.550
room.exit	   -3.200    4.300   -1.200    5.200
furniture.sink	   -8.400   -1.150   -7.400    0.150
furniture.kitchen_table	   -8.450    0.650   -7.450    2.600
furniture.cupboard	   -8.450    2.950   -7.750    4.100
furniture.dining_table	   -4.350   -0.900   -3.300    1.150
furniture.fridge	   -5.250    3.400   -4.750    4.000
furniture.safa	   -1.100    1.550   -0.450    3.300
furniture.living_table	   -0.200    1.950    0.350    2.900
furniture.tv_table	    1.800    1.500    2.500    3.350
furniture.wardrobe	    2.650    0.250    5.250    1.200
furniture.bed1	    2.700    2.200    4.950    4.100
furniture.table1	    7.750    2.250    8.700    3.800
furniture.washbasin2	    6.800   -1.050    7.350   -0.200
furniture.trash_bin	   -5.900   -1.200   -5.550   -0.850
furniture.washing_machine	   -4.250   -5.900   -3.550   -5.150
furniture.tub	   -2.750   -6.050   -1.850   -4.400
furniture.washbasin1	   -2.700   -4.150   -2.100   -3.150
furniture.bed2	    0.050   -5.900    2.250   -4.100
furniture.table2	    0.100   -3.400    1.050   -1.800
furniture.bookcase	    3.900   -6.100    4.300   -4.250
furniture.desk	    5.300   -5.750    6.950   -4.950
furniture.oven	   -8.250    0.750   -7.550    1.550
door.living_room_kitchen:kitchen,living_room,left	   -5.550    0.800   -5.300    2.050
door.balcony_corridor2:balcony,corridor2,left	   -4.850   -2.700   -2.800   -2.300
door.bathroom_corridor2:bathroom,corridor2,left	   -1.200   -2.700   -0.200   -2.350
door.living_room_corridor2:corridor2,living_room,left	   -1.050   -1.500   -0.100   -1.250
door.second_bedroom_corridor1:second_bedroom,corridor1,left	    2.600   -1.600    3.750   -1.300
door.study_corridor1:study,corridor1,left	    3.900   -1.600    4.950   -1.250
door.bedroom_corridor1:corridor1,bedroom,left	    5.500    0.050    6.600    0.250
door.bedroom_toilet:toilet,bedroom,left	    7.600   -0.100    8.600    0.350
door.living_room_corridor1:living_room,corridor1,left	    2.400   -1.250    2.750    0.050
door.living_room_exit:living_room,exit,left	   -3.200    4.100   -1.250    4.450
